OrderPK,ProductPK,Quantity,TotalPrice,LoyaltyPointsUsed,date,BRAND,BRAND_DESC,Category,month,week,customer.INDIVIDUAL_ID
"9471670059053","8796219080705",1,11.99,0,"11/21/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5529732642"
"9480304951341","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5535817563"
"9472540803117","8796219080705",1,11.99,0,"11/22/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539932573"
"9507154231341","8804350656513",1,11.99,0,"12/14/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5531493803"
"9480260714541","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5531361374"
"9477031559213","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5535957948"
"9436185133101","8796219080705",1,11.99,0,"10/8/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5535773779"
"9472998277165","8796219080705",1,11.99,0,"11/22/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527644144"
"9435343323181","8796219080705",1,11.99,0,"10/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533187307"
"9477217288237","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538938993"
"9510186516525","8796219080705",1,11.99,0,"12/16/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5535860610"
"9508548050989","8796219080705",1,11.99,0,"12/15/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538771557"
"9460196769837","8796219080705",1,11.99,0,"11/8/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539457215"
"9510094209069","8796219080705",1,11.99,0,"12/16/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539803528"
"9480112701485","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5537237475"
"9476645847085","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533208677"
"9434468909101","8796218916865",1,11.99,0,"10/6/2016","FLGR                          ","Folgers                       ","Coffee                        ",1,1,"5538079287"
"9459893829677","8796161998849",1,11.99,0,"11/7/2016","NOO                           ","Newmans Own Organic           ","Coffee                        ",1,1,"5539546673"
"9506946973741","8796161998849",1,11.99,0,"12/14/2016","NOO                           ","Newmans Own Organic           ","Coffee                        ",1,1,"5539471960"
"9510681772077","8796219080705",1,11.99,0,"12/17/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539821329"
"9471428362285","8796219080705",1,11.99,0,"11/21/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5529301455"
"9513122562093","8796219080705",1,11.99,0,"12/18/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539886821"
"9507621929005","8796219080705",1,11.99,0,"12/14/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538553404"
"9459911557165","8796219080705",1,11.99,0,"11/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5535588602"
"9507117269037","8796219080705",1,11.99,0,"12/14/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5530294488"
"9477509972013","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5531201119"
"9470572462125","8796219080705",1,11.99,0,"11/20/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532136841"
"9477254447149","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539350961"
"9447611629613","8796219080705",1,11.99,0,"10/29/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5536227464"
"9474100265005","8796218916865",1,11.99,0,"11/23/2016","FLGR                          ","Folgers                       ","Coffee                        ",1,1,"5537513109"
"9506957033517","8796161998849",1,11.99,0,"12/14/2016","NOO                           ","Newmans Own Organic           ","Coffee                        ",1,1,"5538481740"
"9477286527021","8796218916865",1,11.99,0,"11/25/2016","FLGR                          ","Folgers                       ","Coffee                        ",1,1,"5534114495"
"9508575903789","8796219080705",1,11.99,0,"12/15/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533030612"
"9489675255853","8796219080705",1,11.99,0,"11/30/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528789270"
"9508576985133","8796219080705",1,11.99,0,"12/15/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532215380"
"9480282308653","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539547922"
"9435334705197","8796219080705",1,11.99,0,"10/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539276183"
"9507029418029","8796219080705",1,11.99,0,"12/14/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533002485"
"9508658774061","8796219080705",1,11.99,0,"12/15/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532150576"
"9511128072237","8796219080705",1,11.99,0,"12/17/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5534940761"
"9470412455981","8796219080705",1,11.99,0,"11/20/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528166645"
"9478328680493","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527384895"
"9498421657645","8796219080705",1,11.99,0,"12/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538581546"
"9445685067821","8796219080705",1,11.99,0,"10/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533146184"
"9475409346605","8796219080705",1,11.99,0,"11/24/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532116762"
"9429135884333","8804350656513",1,11.99,0,"10/2/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528108084"
"9442418098221","8796218916865",1,11.99,0,"10/18/2016","FLGR                          ","Folgers                       ","Coffee                        ",1,1,"5539093606"
"9476876304429","8796218916865",1,11.99,0,"11/26/2016","FLGR                          ","Folgers                       ","Coffee                        ",1,1,"5539558121"
"9474086240301","8796161998849",1,11.99,0,"11/23/2016","NOO                           ","Newmans Own Organic           ","Coffee                        ",1,1,"5530970393"
"9513138913325","8796219080705",1,11.99,0,"12/18/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539640434"
"9476282581037","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539450354"
"9434412351533","8796219080705",1,11.99,0,"10/6/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528365468"
"9435531640877","8796219080705",1,11.99,0,"10/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527631562"
"9507384361005","8796219080705",1,11.99,0,"12/15/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538577470"
"9459925647405","8796219080705",1,11.99,0,"11/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539934975"
"9480343257133","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5530212758"
"9472451837997","8796219080705",1,11.99,0,"11/22/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539062836"
"9510065242157","8796161998849",1,11.99,0,"12/16/2016","NOO                           ","Newmans Own Organic           ","Coffee                        ",1,1,"5526313926"
"9427801767981","8804350656513",1,11.99,0,"9/29/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538445107"
"9477480644653","8796218916865",1,11.99,0,"11/25/2016","FLGR                          ","Folgers                       ","Coffee                        ",1,1,"5536642011"
"9510149685293","8804350656513",1,11.99,0,"12/16/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538352213"
"9430811377709","8804350656513",1,11.99,0,"10/2/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5536323512"
"9476372070445","8804350656513",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5531164866"
"9473997537325","8796219080705",1,11.99,0,"11/23/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533048009"
"9460145848365","8796219080705",1,11.99,0,"11/8/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5537454836"
"9510222856237","8796219080705",1,11.99,0,"12/16/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527676074"
"9466397458477","8796219080705",1,11.99,0,"11/15/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532110197"
"9460269285421","8796219080705",1,11.99,0,"11/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528122949"
"9475182624813","8796219080705",1,11.99,0,"11/24/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533128330"
"9474034532397","8796219080705",1,11.99,0,"11/23/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533095990"
"9497524895789","8796219080705",1,11.99,0,"12/6/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5529296750"
"9435710980141","8796219080705",1,11.99,0,"10/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527663163"
"9459818102829","8796219080705",1,11.99,0,"11/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5531167708"
"9472476086317","8796219080705",1,11.99,0,"11/22/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539776961"
"9512309620781","8796219080705",1,11.99,0,"12/18/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528397254"
"9476698079277","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5534114421"
"9480211038253","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5949412211"
"9444324737069","8796219080705",1,11.99,0,"10/22/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5530258317"
"9473672151085","8796219080705",1,11.99,0,"11/23/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5536140893"
"9509824593965","8796219080705",1,11.99,0,"12/16/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533154236"
"9461982953517","8796219080705",1,11.99,0,"11/10/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5941709517"
"9510903742509","8796219080705",1,11.99,0,"12/17/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5941708421"
"9474221080621","8796219080705",1,11.99,0,"11/24/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5529026898"
"9512837414957","8796219080705",1,11.99,0,"12/18/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528252909"
"9434145587245","8796219080705",1,11.99,0,"10/6/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5526693487"
"9475673194541","8796219080705",1,11.99,0,"11/24/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5531143794"
"9471459360813","8796219080705",1,11.99,0,"11/21/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527681561"
"9513555492909","8796219080705",1,11.99,0,"12/18/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528359746"
"9471636799533","8796219080705",1,11.99,0,"11/21/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539041612"
"9471546294317","8796219080705",1,11.99,0,"11/21/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5530021316"
"9442418098221","8796219080705",1,11.99,0,"10/18/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538358634"
"9476450615341","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5537131785"
"9474398814253","8796219080705",1,11.99,0,"11/23/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5534910827"
"9476705353773","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538182578"
"9473692303405","8796219080705",1,11.99,0,"11/23/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5526177222"
"9472142770221","8796219080705",1,11.99,0,"11/21/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5531000356"
"9459756138541","8796219080705",1,11.99,0,"11/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539383886"
"9478656491565","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5530267479"
"9510150602797","8796219080705",1,11.99,0,"12/16/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527672556"
"9434815365165","8796219080705",1,11.99,0,"10/6/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5526290016"
"9444855480365","8796219080705",1,11.99,0,"10/24/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538629585"
"9435720613933","8796219080705",1,11.99,0,"10/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538519485"
"9476394254381","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5535999037"
"9436230451245","8796219080705",1,11.99,0,"10/9/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5536369044"
"9473936556077","8796219080705",1,11.99,0,"11/23/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539942977"
"9477541691437","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538988513"
"9503839060013","8796219080705",1,11.99,0,"12/12/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539411186"
"9477428084781","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532894632"
"9480143503405","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5526130118"
"9506864562221","8796219080705",1,11.99,0,"12/14/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539791424"
"9476862574637","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538602278"
"9474007826477","8796219080705",1,11.99,0,"11/23/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533170442"
"9509295915053","8796219080705",1,11.99,0,"12/15/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5534903456"
"9499447230509","8796219080705",1,11.99,0,"12/8/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5530252928"
"9499373273133","8796219080705",1,11.99,0,"12/8/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5533103788"
"9477832015917","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5530161740"
"9435323007021","8796219080705",1,11.99,0,"10/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5527824204"
"9475773071405","8796219080705",1,11.99,0,"11/24/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538086590"
"9499166736429","8796218163201",1,11.99,0,"12/8/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5536278818"
"9477439422509","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539237336"
"9479947354157","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532101958"
"9476068474925","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539001618"
"9459250004013","8796219080705",1,11.99,0,"11/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539113972"
"9477219024941","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5532828416"
"9480135868461","8796219080705",1,11.99,0,"11/26/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5528380385"
"9460010516525","8796219080705",1,11.99,0,"11/7/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539405458"
"9476083417133","8796219080705",1,11.99,0,"11/25/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5538313787"
"9507042590765","8796218916865",1,11.99,0,"12/14/2016","FLGR                          ","Folgers                       ","Coffee                        ",1,1,"5537668413"
"9475473604653","8804350656513",1,11.99,0,"11/24/2016","GMCR                          ","Green Mountain Coffee Roasters","Coffee                        ",1,1,"5539605886"
